"","Region.Name","NUTS2_old","gdp_cap","density","area","higher_ed","hhd_income","unemp_pct","NUTS","NUTS_eb","Constituency","age_cat","gender_male","edu","freq","country"
"1","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y18-24",0,6,0,"FR"
"2","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y_GE85",1,4,0,"FR"
"3","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y_GE85",1,5,1287,"FR"
"4","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y_GE85",1,6,31,"FR"
"5","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y_GE85",1,NA,0,"FR"
"6","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y_GE85",1,NA,241,"FR"
"7","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y_GE85",1,NA,0,"FR"
"8","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y18-24",0,5,21092,"FR"
"9","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y65-84",1,6,591,"FR"
"10","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y18-24",0,NA,0,"FR"
"11","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y18-24",0,NA,458,"FR"
"12","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y18-24",0,NA,0,"FR"
"13","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y50-64",1,6,1262,"FR"
"14","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y50-64",1,NA,0,"FR"
"15","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y50-64",1,NA,3069,"FR"
"16","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y50-64",1,NA,3,"FR"
"17","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y65-84",1,1,34660,"FR"
"18","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y65-84",1,2,8782,"FR"
"19","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y65-84",1,3,49838,"FR"
"20","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y65-84",1,4,0,"FR"
"21","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y65-84",1,5,13251,"FR"
"22","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y_GE85",1,2,1093,"FR"
"23","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y65-84",1,NA,0,"FR"
"24","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y65-84",1,NA,3734,"FR"
"25","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y65-84",1,NA,0,"FR"
"26","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y_GE85",1,1,4458,"FR"
"27","Alsace","FR42",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y25-29",0,1,1556,"FR"
