"","Region.Name","NUTS2_old","ms","gdp_cap","density","area","higher_ed","hhd_income","unemp_pct","NUTS","NUTS_eb","Constituency","age_cat2","gender_male","freq","country"
"1","Alsace","FR42","WID",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y_GE85",0,0,"FR"
"2","Alsace","FR42","MAR",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y15-29",0,25506,"FR"
"3","Alsace","FR42","WID",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y65-84",0,0,"FR"
"4","Alsace","FR42","SIN",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y50-64",0,16468,"FR"
"5","Alsace","FR42","SIN",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y65-84",0,9230,"FR"
"6","Alsace","FR42","MAR",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y30-49",0,158630,"FR"
"7","Alsace","FR42","MAR",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y50-64",0,124148,"FR"
"8","Alsace","FR42","MAR",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y65-84",0,69894,"FR"
"9","Alsace","FR42","MAR",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y_GE85",0,3212,"FR"
"10","Alsace","FR42","REP",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y15-29",0,0,"FR"
"11","Alsace","FR42","REP",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y30-49",0,0,"FR"
"12","Alsace","FR42","REP",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y50-64",0,0,"FR"
"13","Alsace","FR42","REP",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y65-84",0,0,"FR"
"14","Alsace","FR42","REP",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y_GE85",0,0,"FR"
"15","Alsace","FR42","SIN",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y15-29",0,149237,"FR"
"16","Alsace","FR42","SIN",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y30-49",0,73004,"FR"
"17","Alsace","FR42","DIV",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y15-29",1,0,"FR"
"18","Alsace","FR42","DIV",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y30-49",1,0,"FR"
"19","Alsace","FR42","DIV",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y50-64",1,0,"FR"
"20","Alsace","FR42","DIV",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y65-84",1,0,"FR"
"21","Alsace","FR42","DIV",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y_GE85",1,0,"FR"
"22","Alsace","FR42","DIV",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y15-29",1,917,"FR"
"23","Alsace","FR42","DIV",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y30-49",1,20093,"FR"
"24","Alsace","FR42","DIV",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y50-64",1,20401,"FR"
"25","Alsace","FR42","DIV",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y65-84",1,5741,"FR"
"26","Alsace","FR42","DIV",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y_GE85",1,150,"FR"
"27","Alsace","FR42","WID",-0.105865549236101,-0.122699662926722,-0.241278215087647,0.81515191268947,-0.688225950519789,-0.00790980655990197,"FRF1","FR10","East France","Y15-29",1,0,"FR"
