GEO,SEX,CAS,LMS,COC,AGE,TIME,VALUE,FLAGS,FOOTNOTES
FR21,F,POP,DISREP,TOTAL,Y65-84,2011,0,,
FR21,F,POP,DISREP,TOTAL,Y_GE85,2011,0,,
FR21,F,POP,DIV,TOTAL,Y15-29,2011,740,,
FR21,F,POP,DIV,TOTAL,Y30-49,2011,17149,,
FR21,F,POP,DIV,TOTAL,Y50-64,2011,19672,,
FR21,F,POP,DIV,TOTAL,Y65-84,2011,7474,,
FR21,F,POP,DIV,TOTAL,Y_GE85,2011,818,,
FR21,F,POP,DTHREP,TOTAL,Y15-29,2011,0,,
FR21,F,POP,DTHREP,TOTAL,Y30-49,2011,0,,
FR21,F,POP,DTHREP,TOTAL,Y50-64,2011,0,,
FR21,F,POP,DTHREP,TOTAL,Y65-84,2011,0,,
FR21,F,POP,DTHREP,TOTAL,Y_GE85,2011,0,,
FR21,F,POP,MAR,TOTAL,Y15-29,2011,14008,,
FR21,F,POP,MAR,TOTAL,Y30-49,2011,99160,,
FR21,F,POP,MAR,TOTAL,Y50-64,2011,89787,,
FR21,F,POP,MAR,TOTAL,Y65-84,2011,52891,,
FR21,F,POP,MAR,TOTAL,Y_GE85,2011,3143,,
FR21,F,POP,REP,TOTAL,Y15-29,2011,0,,
FR21,F,POP,REP,TOTAL,Y30-49,2011,0,,
FR21,F,POP,REP,TOTAL,Y50-64,2011,0,,
FR21,F,POP,REP,TOTAL,Y65-84,2011,0,,
FR21,F,POP,REP,TOTAL,Y_GE85,2011,0,,
FR21,F,POP,SIN,TOTAL,Y15-29,2011,105290,,
FR21,F,POP,SIN,TOTAL,Y30-49,2011,56863,,
FR21,F,POP,SIN,TOTAL,Y50-64,2011,14240,,
FR21,F,POP,SIN,TOTAL,Y65-84,2011,6724,,
FR21,F,POP,SIN,TOTAL,Y_GE85,2011,1722,,
FR21,F,POP,UNK,TOTAL,Y15-29,2011,4,u,
FR21,F,POP,UNK,TOTAL,Y30-49,2011,5,u,
FR21,F,POP,UNK,TOTAL,Y50-64,2011,2,u,
FR21,F,POP,UNK,TOTAL,Y65-84,2011,0,,
FR21,F,POP,UNK,TOTAL,Y_GE85,2011,0,,
FR21,F,POP,WID,TOTAL,Y15-29,2011,79,,
FR21,F,POP,WID,TOTAL,Y30-49,2011,2251,,
FR21,F,POP,WID,TOTAL,Y50-64,2011,11404,,
FR21,F,POP,WID,TOTAL,Y65-84,2011,44070,,
FR21,F,POP,WID,TOTAL,Y_GE85,2011,18540,,
FR21,M,POP,DISREP,TOTAL,Y15-29,2011,0,,
FR21,M,POP,DISREP,TOTAL,Y30-49,2011,0,,
FR21,M,POP,DISREP,TOTAL,Y50-64,2011,0,,
FR21,M,POP,DISREP,TOTAL,Y65-84,2011,0,,
FR21,M,POP,DISREP,TOTAL,Y_GE85,2011,0,,
FR21,M,POP,DIV,TOTAL,Y15-29,2011,280,,
FR21,M,POP,DIV,TOTAL,Y30-49,2011,12939,,
FR21,M,POP,DIV,TOTAL,Y50-64,2011,16014,,
FR21,M,POP,DIV,TOTAL,Y65-84,2011,5392,,
FR21,M,POP,DIV,TOTAL,Y_GE85,2011,138,,
FR21,M,POP,DTHREP,TOTAL,Y15-29,2011,0,,
FR21,M,POP,DTHREP,TOTAL,Y30-49,2011,0,,
FR21,M,POP,DTHREP,TOTAL,Y50-64,2011,0,,
FR21,M,POP,DTHREP,TOTAL,Y65-84,2011,0,,
FR21,M,POP,DTHREP,TOTAL,Y_GE85,2011,0,,
FR21,M,POP,MAR,TOTAL,Y15-29,2011,7831,,
FR21,M,POP,MAR,TOTAL,Y30-49,2011,90105,,
FR21,M,POP,MAR,TOTAL,Y50-64,2011,92694,,
FR21,M,POP,MAR,TOTAL,Y65-84,2011,63496,,
FR21,M,POP,MAR,TOTAL,Y_GE85,2011,5501,,
FR21,M,POP,REP,TOTAL,Y15-29,2011,0,,
FR21,M,POP,REP,TOTAL,Y30-49,2011,0,,
FR21,M,POP,REP,TOTAL,Y50-64,2011,0,,
FR21,M,POP,REP,TOTAL,Y65-84,2011,0,,
FR21,M,POP,REP,TOTAL,Y_GE85,2011,0,,
FR21,M,POP,SIN,TOTAL,Y15-29,2011,118571,,
FR21,M,POP,SIN,TOTAL,Y30-49,2011,71374,,
FR21,M,POP,SIN,TOTAL,Y50-64,2011,18966,,
FR21,M,POP,SIN,TOTAL,Y65-84,2011,6719,,
FR21,M,POP,SIN,TOTAL,Y_GE85,2011,679,,
FR21,M,POP,UNK,TOTAL,Y15-29,2011,3,u,
FR21,M,POP,UNK,TOTAL,Y30-49,2011,4,u,
FR21,M,POP,UNK,TOTAL,Y50-64,2011,4,u,
FR21,M,POP,UNK,TOTAL,Y65-84,2011,0,,
FR21,M,POP,UNK,TOTAL,Y_GE85,2011,0,,
